,Relationship,full_community_id_source,name_source,Ar_target,AtomicNumber_target,Categorisation_target,Density_target,Dimensions_target,Form_target,Free_of_target,Material_target,MeltingPoint_target,Series_target,Specifications_target,Symbol_target,Title_target,full_community_id_target,name_target
0,IS_COMPOSED_OF,244,ALUMINUM,,,paper,,Tabloid,New,paper,New,,,Nonferrous Scrap - Aluminum,,Minimum size of 3� (8 cm) in any direction,Aluminum,Lithographic Sheets
1,IS_COMPOSED_OF,244,ALUMINUM,,,paper,,,Clean. To consist of 1000 and/or 3000 series alloys,paper,Clean Aluminum Lithographic Sheets,,,Nonferrous Scrap - Aluminum,,Tablet,Aluminum ,Lithographic Sheets
2,IS_COMPOSED_OF,244,ALUMINUM,,,Radioactive material,,,Shall be made up of a combination of the nonferrous metals – aluminum,Radioactive material,,,,Nonferrous Scrap - Aluminum,,Zorba,Shredded Nonferrous Scrap (predominantly aluminum),Nonferrous Scrap
3,IS_COMPOSED_OF,244,ALUMINUM,,,Radar chaff foil,,,Baled old household aluminum foil and formed foil containers of uncoated 1000,Radar chaff foil,Post Consumer Aluminum Foil,,,Nonferrous Scrap - Aluminum,,Tesla,Aluminum,Foil
4,IS_COMPOSED_OF,244,ALUMINUM,,,Hair wire,,Tooth,New,Hair wire,Segregated New Aluminum Alloy Clippings and Solids,,,Nonferrous Scrap - Aluminum,,Minimum thickness of .015� (.38 mm),Aluminum,Clippings and Solids
5,IS_COMPOSED_OF,244,ALUMINUM,,,Sawings,,,New,Sawings,null,,,Nonferrous Scrap - Aluminum,,Tread,Aluminum,Castings
6,IS_COMPOSED_OF,244,ALUMINUM,,,Hair wire,,Tough,New,Hair wire,Mixed New Aluminum Alloy Clippings and Solids,,,Nonferrous Scrap - Aluminum,,Minimum thickness of .015� (.38 mm),Aluminum,Clippings and Solids
7,IS_COMPOSED_OF,244,ALUMINUM,,,Iron,,,Old extruded aluminum of one alloy,Iron,Aluminum Extrusions Dealer Grade,,,Nonferrous Scrap - Aluminum,,Tutu,Aluminum,Extrusions
8,IS_COMPOSED_OF,244,ALUMINUM,,,Other alloys of aluminum,,,Material to consist of new production and old/used 6063 extrusions that may contain up to (but not exceed) 10 percent painted extrusions and 10 percent 6061 alloy extrusions.,Other alloys of aluminum,Aluminum Extrusions 10/10,,,Nonferrous Scrap - Aluminum,,Toto,Aluminum,Extrusions
9,IS_COMPOSED_OF,244,ALUMINUM,,,Lids with sealers,,,Low copper,Lids with sealers,New Aluminum Can Stock,,,Nonferrous Scrap - Aluminum,,Take,Aluminum ,Cans and clippings 
10,IS_COMPOSED_OF,244,ALUMINUM,,,Corrosion,,,Aluminum scrap which has been sweated or melted into a form or shape such as an ingot,Corrosion,Sweated Aluminum,,,Nonferrous Scrap - Aluminum,,Throb,Aluminum,Aluminum Scrap 
11,IS_COMPOSED_OF,244,ALUMINUM,,,Anodized foil,,,Clean,Anodized foil,New Aluminum Foil,,,Nonferrous Scrap - Aluminum,,Terse,Aluminum,Foil
12,IS_COMPOSED_OF,244,ALUMINUM,,,Hair wire,,,New,Hair wire,New Pure Aluminum Wire and Cable,,,Nonferrous Scrap - Aluminum,,Talon,Aluminum,Wire and Cable 
13,IS_COMPOSED_OF,244,ALUMINUM,,,Plastic coating,,,Clean,Plastic coating,Painted Siding,,,Nonferrous Scrap - Aluminum,,Tale,Aluminum,Siding scrap 
14,IS_COMPOSED_OF,244,ALUMINUM,,,Other wires and cables unless mutually agreed upon,,,Aluminum Conductor Steel Reinforced (ACSR) wire is a combination of steel and aluminum wire,Other wires and cables unless mutually agreed upon,ACSR,,,Nonferrous Scrap - Aluminum,,Trill,Aluminum,Wire
15,IS_COMPOSED_OF,244,ALUMINUM,,,Screening,,,Clean,Screening,E.C. Aluminum Nodules,,,Nonferrous Scrap - Aluminum,,Tall,Aluminum,E.C. 
16,IS_COMPOSED_OF,244,ALUMINUM,,,All inserts,,,Clean,All inserts,Aluminum Auto Truck Wheels,,,Nonferrous Scrap - Aluminum,,Troma,Aluminum,Wheels
17,IS_COMPOSED_OF,244,ALUMINUM,,,Excessively oxidized material,,,The material as received must be dry and not to contain more than 2% free zinc,Excessively oxidized material,Fragmentizer Aircraft Aluminum Scrap (2000 and 7000 series),,,Nonferrous Scrap - Aluminum,,Twirl,Aluminum,Aircraft Scrap
18,IS_COMPOSED_OF,244,ALUMINUM,,,Hair wire,,,New,Hair wire,New Mixed Aluminum Wire and Cable,,,Nonferrous Scrap - Aluminum,,Tann,Aluminum,Wire and Cable 
19,IS_COMPOSED_OF,244,ALUMINUM,,,Hair wire,,,Old,Hair wire,Old Pure Aluminum Wire and Cable,,,Nonferrous Scrap - Aluminum,,Taste,Aluminum,Wire and Cable 
20,IS_COMPOSED_OF,244,ALUMINUM,,,Any foreign contamination,,,Consists of one alloy (typically 6063). Material may contain �butt ends� from the extrusion process. Anodized material is acceptable.,Any foreign contamination,New Production Aluminum Extrusions,,,Nonferrous Scrap - Aluminum,,Tata,Aluminum,Extrusions
21,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2218,2000
22,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2397,2000
23,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6061,6000
24,CONTAINS,244,ALUMINUM,,,,,,,,,,1000,,,,1230,1000
25,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2080,2000
26,CONTAINS,244,ALUMINUM,,,,,,,,,,5000,,,,5019,5000
27,CONTAINS,244,ALUMINUM,,,,,,,,,,8000,,,,8009,8000
28,CONTAINS,244,ALUMINUM,,,,,,,,,,5000,,,,5024,5000
29,CONTAINS,244,ALUMINUM,,,,,,,,,,1000,,,,1100,1000
30,CONTAINS,244,ALUMINUM,,,,,,,,,,5000,,,,5056,5000
31,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2198,2000
32,CONTAINS,244,ALUMINUM,,,,,,,,,,5000,,,,5154,5000
33,CONTAINS,244,ALUMINUM,,,,,,,,,,7000,,,,7085,7000
34,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6101,6000
35,CONTAINS,244,ALUMINUM,,,,,,,,,,8000,,,,8019,8000
36,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6113,6000
37,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6009,6000
38,CONTAINS,244,ALUMINUM,,,,,,,,,,7000,,,,7010,7000
39,CONTAINS,244,ALUMINUM,,,,,,,,,,7000,,,,7150,7000
40,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2618,2000
41,CONTAINS,244,ALUMINUM,,,,,,,,,,8000,,,,8176,8000
42,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2095,2000
43,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2004,2000
44,CONTAINS,244,ALUMINUM,,,,,,,,,,5000,,,,5454,5000
45,CONTAINS,244,ALUMINUM,,,,,,,,,,8000,,,,8014,8000
46,CONTAINS,244,ALUMINUM,,,,,,,,,,8000,,,,8006,8000
47,CONTAINS,244,ALUMINUM,,,,,,,,,,7000,,,,7050,7000
48,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2324,2000
49,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2091,2000
50,CONTAINS,244,ALUMINUM,,,,,,,,,,#VALUE!,,,,6063A,#VALUE!
51,CONTAINS,244,ALUMINUM,,,,,,,,,,8000,,,,8090,8000
52,CONTAINS,244,ALUMINUM,,,,,,,,,,3000,,,,3103,3000
53,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6463,6000
54,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6060,6000
55,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2097,2000
56,CONTAINS,244,ALUMINUM,,,,,,,,,,8000,,,,8030,8000
57,CONTAINS,244,ALUMINUM,,,,,,,,,,8000,,,,8011,8000
58,CONTAINS,244,ALUMINUM,,,,,,,,,,7000,,,,7075,7000
59,CONTAINS,244,ALUMINUM,,,,,,,,,,7000,,,,7079,7000
60,CONTAINS,244,ALUMINUM,,,,,,,,,,7000,,,,7034,7000
61,CONTAINS,244,ALUMINUM,,,,,,,,,,3000,,,,3004,3000
62,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2519,2000
63,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6151,6000
64,CONTAINS,244,ALUMINUM,,,,,,,,,,4000,,,,4047,4000
65,CONTAINS,244,ALUMINUM,,,,,,,,,,1000,,,,1050,1000
66,CONTAINS,244,ALUMINUM,,,,,,,,,,1000,,,,1145,1000
67,CONTAINS,244,ALUMINUM,,,,,,,,,,7000,,,,7072,7000
68,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6070,6000
69,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6063,6000
70,CONTAINS,244,ALUMINUM,,,,,,,,,,3000,,,,3003,3000
71,CONTAINS,244,ALUMINUM,,,,,,,,,,7000,,,,7475,7000
72,CONTAINS,244,ALUMINUM,,,,,,,,,,1000,,,,1070,1000
73,CONTAINS,244,ALUMINUM,,,,,,,,,,7000,,,,7093,7000
74,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6081,6000
75,CONTAINS,244,ALUMINUM,,,,,,,,,,3000,,,,3102,3000
76,CONTAINS,244,ALUMINUM,,,,,,,,,,7000,,,,7065,7000
77,CONTAINS,244,ALUMINUM,,,,,,,,,,5000,,,,5026,5000
78,CONTAINS,244,ALUMINUM,,,,,,,,,,5000,,,,5557,5000
79,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2098,2000
80,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6013,6000
81,CONTAINS,244,ALUMINUM,,,,,,,,,,7000,,,,7039,7000
82,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2036,2000
83,CONTAINS,244,ALUMINUM,,,,,,,,,,7000,,,,7068,7000
84,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6066,6000
85,CONTAINS,244,ALUMINUM,,,,,,,,,,5000,,,,5182,5000
86,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6010,6000
87,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2024,2000
88,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2319,2000
89,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6951,6000
90,CONTAINS,244,ALUMINUM,,,,,,,,,,4000,,,,4032,4000
91,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6082,6000
92,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2029,2000
93,CONTAINS,244,ALUMINUM,,,,,,,,,,7000,,,,7129,7000
94,CONTAINS,244,ALUMINUM,,,,,,,,,,4000,,,,4043,4000
95,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2297,2000
96,CONTAINS,244,ALUMINUM,,,,,,,,,,5000,,,,5083,5000
97,CONTAINS,244,ALUMINUM,,,,,,,,,,7000,,,,7116,7000
98,CONTAINS,244,ALUMINUM,,,,,,,,,,5000,,,,5010,5000
99,CONTAINS,244,ALUMINUM,,,,,,,,,,5000,,,,5652,5000
100,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2011,2000
101,CONTAINS,244,ALUMINUM,,,,,,,,,,1000,,,,1060,1000
102,CONTAINS,244,ALUMINUM,,,,,,,,,,5000,,,,5754,5000
103,CONTAINS,244,ALUMINUM,,,,,,,,,,3000,,,,3303,3000
104,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2224,2000
105,CONTAINS,244,ALUMINUM,,,,,,,,,,5000,,,,5050,5000
106,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6105,6000
107,CONTAINS,244,ALUMINUM,,,,,,,,,,5000,,,,5052,5000
108,CONTAINS,244,ALUMINUM,,,,,,,,,,5000,,,,5086,5000
109,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6262,6000
110,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6022,6000
111,CONTAINS,244,ALUMINUM,,,,,,,,,,5000,,,,5456,5000
112,CONTAINS,244,ALUMINUM,,,,,,,,,,7000,,,,7178,7000
113,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2124,2000
114,CONTAINS,244,ALUMINUM,,,,,,,,,,1000,,,,1350,1000
115,CONTAINS,244,ALUMINUM,,,,,,,,,,3000,,,,3105,3000
116,CONTAINS,244,ALUMINUM,,,,,,,,,,7000,,,,7049,7000
117,CONTAINS,244,ALUMINUM,,,,,,,,,,4000,,,,4007,4000
118,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6351,6000
119,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6201,6000
120,CONTAINS,244,ALUMINUM,,,,,,,,,,4000,,,,4006,4000
121,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2048,2000
122,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2197,2000
123,CONTAINS,244,ALUMINUM,,,,,,,,,,3000,,,,3203,3000
124,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6005,6000
125,CONTAINS,244,ALUMINUM,,,,,,,,,,5000,,,,5254,5000
126,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2196,2000
127,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6162,6000
128,CONTAINS,244,ALUMINUM,,,,,,,,,,5000,,,,5059,5000
129,CONTAINS,244,ALUMINUM,,,,,,,,,,3000,,,,3005,3000
130,CONTAINS,244,ALUMINUM,,,,,,,,,,8000,,,,8025,8000
131,CONTAINS,244,ALUMINUM,,,,,,,,,,8000,,,,8091,8000
132,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2099,2000
133,CONTAINS,244,ALUMINUM,,,,,,,,,,#VALUE!,,,,646g,#VALUE!
134,CONTAINS,244,ALUMINUM,,,,,,,,,,5000,,,,5252,5000
135,CONTAINS,244,ALUMINUM,,,,,,,,,,7000,,,,7005,7000
136,CONTAINS,244,ALUMINUM,,,,,,,,,,1000,,,,1199,1000
137,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2524,2000
138,CONTAINS,244,ALUMINUM,,,,,,,,,,7000,,,,7022,7000
139,CONTAINS,244,ALUMINUM,,,,,,,,,,7000,,,,7175,7000
140,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2195,2000
141,CONTAINS,244,ALUMINUM,,,,,,,,,,5000,,,,5657,5000
142,CONTAINS,244,ALUMINUM,,,,,,,,,,5000,,,,5005,5000
143,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2017,2000
144,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6065,6000
145,CONTAINS,244,ALUMINUM,,,,,,,,,,6000,,,,6205,6000
146,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2020,2000
147,CONTAINS,244,ALUMINUM,,,,,,,,,,7000,,,,7255,7000
148,CONTAINS,244,ALUMINUM,,,,,,,,,,1000,,,,1370,1000
149,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2014,2000
150,CONTAINS,244,ALUMINUM,,,,,,,,,,7000,,,,7055,7000
151,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2090,2000
152,CONTAINS,244,ALUMINUM,,,,,,,,,,4000,,,,4543,4000
153,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2094,2000
154,CONTAINS,244,ALUMINUM,,,,,,,,,,5000,,,,5356,5000
155,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2055,2000
156,CONTAINS,244,ALUMINUM,,,,,,,,,,8000,,,,8093,8000
157,CONTAINS,244,ALUMINUM,,,,,,,,,,4000,,,,4015,4000
158,CONTAINS,244,ALUMINUM,,,,,,,,,,5000,,,,5457,5000
159,CONTAINS,244,ALUMINUM,,,,,,,,,,2000,,,,2219,2000
160,IS_COMPOSED_OF,245,MALLEABLE IRON,,,Cast iron and steel parts and other foreign material,,,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Cast Iron Grades,Cast iron and steel parts and other foreign material,,,,,,264,Malleable,Malleable parts of automobiles
161,IS_COMPOSED_OF,245,MALLEABLE IRON,,,Steel turnings,,,Containing not more than 1 percent oil,Steel turnings,No. 1 Chemical Borings,,,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Special Boring Grades,,267,Cast or malleable iron ,Borings and drillings 
162,IS_COMPOSED_OF,245,MALLEABLE IRON,,,Steel turnings,,,Nea clean,Steel turnings,No. 2 Chemical Borings,,,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Special Boring Grades,,271,Cast or malleable iron ,Borings and drillings 
163,IS_COMPOSED_OF,245,MALLEABLE IRON,,,Steel turnings,,,Clean ,Steel turnings,Malleable Borings,,,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Special Boring Grades,,270,Malleable iron ,Borings and drillings 
164,IS_COMPOSED_OF,245,MALLEABLE IRON,,,Steel turnings,,,Clean,Steel turnings,Iron Borings,,,Ferrous Scrap ,,223,Cast Iron or malleable iron ,Borings and drillings 
165,IS_COMPOSED_OF,246,ALUMINUM BRASS,,,Nickel alloy and corroded material,,,Clean. May be plated or unplated,Nickel alloy and corroded material,Aluminum Brass Condenser Tubes,,,Nonferrous Scrap - Red Metals,,Pallu,Aluminum Brass,Condenser tubes
166,IS_COMPOSED_OF,247,BRASS,,,Plated and soldered materials or pipes with cast brass connections,,,To be sound,Plated and soldered materials or pipes with cast brass connections,Brass Pipe,,,Nonferrous Scrap - Red Metals,,Melon,Brass,Pipe 
167,IS_COMPOSED_OF,247,BRASS,,,bullets,,,Clean muffled. For material to be exported from the United States,bullets,Brass Small Arms and Rifle Shells,,,Nonferrous Scrap - Red Metals,,Lamb,Brass,Rifle shells
168,IS_COMPOSED_OF,247,BRASS,,,bullets,,,Clean. For material to be exported from the United States,bullets,Brass Small Arms and Rifle Shells,,,Nonferrous Scrap - Red Metals,,Lake,Brass,Rifle shells
169,IS_COMPOSED_OF,247,BRASS,,,primers and any other foreign material,,,Clean. For material to be exported from the United States,primers and any other foreign material,Brass Shell Cases Without Primers,,,Nonferrous Scrap - Red Metals,,Lace,Brass,Fired 70/30 shell cases
170,IS_COMPOSED_OF,247,BRASS,,,Nonferrous Scrap - Red Metals,,,Copper content of not less than 75%,,Machinery or Hard Brass Borings,,,Nonferrous Scrap - Red Metals,,Erin,Brass,Borings
171,IS_COMPOSED_OF,247,BRASS,,,lined and unlined standard red car boxes.,,,Copper content of not less than 75%,lined and unlined standard red car boxes.,Machinery or Hard Brass Solids,,,Nonferrous Scrap - Red Metals,,Engel,Brass,Solids
172,IS_COMPOSED_OF,248,BRONZE,,,Nonferrous Scrap - Red Metals,,,It is recommended that these materials be sold on sample or analysis.,,High Lead Bronze Solids and Borings,,,Nonferrous Scrap - Red Metals,,Elias,Bronze,Solids and Borings
173,IS_COMPOSED_OF,249,COPPER,,,Nonferrous Scrap - Red Metals,,No. 1 Copper Wire,Bare,,Wire gauge subject to agreement between buyer and seller,,,Nonferrous Scrap - Red Metals,,Berry,Copper ,Wire 
174,IS_COMPOSED_OF,249,COPPER,,,Nonferrous Scrap - Red Metals,,Druid,Uncoated,,Insulated Copper Wire Scrap,,,Nonferrous Scrap - Red Metals,,not smaller than No. 16 B & S wire gauge (unless smaller wire gauge is mutually agreed upon),Copper,Wire
175,IS_COMPOSED_OF,249,COPPER,,,Nonferrous Scrap - Red Metals,,,with various types of insulation. To be sold on a sample or recovery basis,,Insulated Copper Wire Scrap,,,Nonferrous Scrap - Red Metals,,Droid,Copper ,Wire 
176,IS_COMPOSED_OF,249,COPPER,,,Nonferrous Scrap - Red Metals,,,Unalloyed,,No. 2 Copper Wire Nodules,,,Nonferrous Scrap - Red Metals,,Cobra,Copper ,Wire scrap nodules
177,IS_COMPOSED_OF,249,COPPER,,,Tin,,Clove,Uncoated,Tin,No. 1 Copper Wire Nodules,,,Nonferrous Scrap - Red Metals,,Gauge smaller than No. 16 B & S wire subject to agreement between buyer and seller,[Copper ,Wire scrap nodules
178,IS_COMPOSED_OF,249,COPPER,,,excessively leaded,,,Unalloyed,excessively leaded,No. 2 Copper Solids and Tubing,,,Nonferrous Scrap - Red Metals,,Cliff,Copper ,Miscellaneous Scrap
179,IS_COMPOSED_OF,249,COPPER,,,Nonferrous Scrap - Red Metals,,,clean,,No. 1 Heavy Copper Solids and Tubing,,,Nonferrous Scrap - Red Metals,,Candy,Copper ,Clippings
